question_id,theorem_id
9,1
11,3
11,4
4,5
5,5
12,5
4,7
5,7
12,7
4,9
5,9
6,9
7,9
13,10
13,11
13,12
24,13
27,13
1,14
27,14
26,16
28,17
22,23
22,24
22,25
17,26
17,27
17,28
17,29
17,30
17,31
17,32
17,33
3,34
8,34
9,34
14,34
15,34
16,34
17,34
18,34
3,35
8,35
9,35
14,35
15,35
16,35
17,35
18,35
3,36
8,36
9,36
14,36
15,36
16,36
17,36
18,36
3,37
8,37
9,37
14,37
15,37
16,37
17,37
18,37
1,38
2,38
3,38
8,38
9,38
14,38
15,38
16,38
18,38
1,39
2,39
3,39
8,39
9,39
14,39
15,39
16,39
18,39
3,40
8,40
9,40
14,40
15,40
16,40
17,40
18,40
1,41
2,41
3,41
8,41
9,41
10,41
14,41
15,41
16,41
18,41
3,42
6,42
7,42
8,42
9,42
10,42
14,42
17,42
18,42
3,43
8,43
9,43
10,43
14,43
17,43
18,43
3,44
6,44
7,44
8,44
9,44
14,44
15,44
16,44
17,44
18,44
3,45
8,45
9,45
14,45
15,45
16,45
17,45
18,45
3,46
8,46
9,46
14,46
15,46
16,46
17,46
18,46
3,47
8,47
14,47
15,47
16,47
17,47
18,47
1,48
2,48
3,48
8,48
9,48
10,48
14,48
15,48
16,48
18,48
3,49
6,49
7,49
8,49
9,49
10,49
14,49
15,49
16,49
17,49
18,49
6,50
7,50
19,50
20,50
21,50
22,50
6,51
7,51
19,51
20,51
21,51
22,51
6,52
7,52
19,52
20,52
21,52
22,52
6,53
7,53
19,53
20,53
21,53
22,53
6,54
7,54
19,54
20,54
21,54
22,54
6,55
7,55
19,55
20,55
21,55
22,55
1,56
2,56
3,56
4,56
5,56
8,56
23,56
24,56
25,56
26,56
27,56
28,56
1,57
2,57
3,57
4,57
5,57
8,57
10,57
23,57
24,57
25,57
26,57
27,57
28,57
1,58
2,58
3,58
4,58
5,58
8,58
23,58
24,58
25,58
26,58
27,58
28,58
1,59
2,59
3,59
4,59
5,59
8,59
23,59
24,59
25,59
26,59
27,59
28,59
1,60
2,60
3,60
4,60
5,60
8,60
23,60
24,60
25,60
26,60
27,60
28,60
1,61
2,61
3,61
4,61
5,61
8,61
23,61
24,61
25,61
26,61
27,61
28,61
1,62
2,62
3,62
4,62
5,62
8,62
23,62
24,62
25,62
26,62
27,62
28,62
22,63
